MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:46.210,2019/12/20,17:08:46.176,,16400,,,18.77196,72.77548,,,,,,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:46.303,2019/12/20,17:08:46.303,,16400,,,,,,,0,,0,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:46.319,2019/12/20,17:08:46.306,,16400,,,,,,,0,,0,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:46.630,2019/12/20,17:08:46.631,,16425,,,18.77121,72.77573,,,,,,0
MSG,3,111,11111,896174,111111,2019/12/20,17:08:47.306,2019/12/20,17:08:47.288,,5025,,,18.81006,72.99233,,,,,,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:48.650,2019/12/20,17:08:48.603,,16525,,,18.76763,72.77678,,,,,,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:48.833,2019/12/20,17:08:48.800,,16525,,,,,,,0,,0,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:48.834,2019/12/20,17:08:48.801,,16525,,,,,,,0,,0,0
MSG,3,111,11111,896174,111111,2019/12/20,17:08:48.887,2019/12/20,17:08:48.862,,5000,,,18.80901,72.99346,,,,,,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:49.040,2019/12/20,17:08:48.996,,16550,,,,,,,0,,0,0
MSG,1,111,11111,800BA7,111111,2019/12/20,17:08:49.480,2019/12/20,17:08:49.453,IGO793  ,,,,,,,,,,,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:49.611,2019/12/20,17:08:49.583,,16575,,,18.76620,72.77721,,,,,,0
MSG,5,111,11111,896174,111111,2019/12/20,17:08:49.908,2019/12/20,17:08:49.908,,5000,,,,,,,0,,0,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:50.080,2019/12/20,17:08:50.043,,16600,,,18.76679,72.77703,,,,,,0
MSG,5,111,11111,800BA7,111111,2019/12/20,17:08:50.318,2019/12/20,17:08:50.303,,16625,,,,,,,0,,0,0
MSG,3,111,11111,896174,111111,2019/12/20,17:08:50.341,2019/12/20,17:08:50.307,,4975,,,18.80800,72.99449,,,,,,0
MSG,1,111,11111,896174,111111,2019/12/20,17:08:50.396,2019/12/20,17:08:50.370,UAE502  ,,,,,,,,,,,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:50.490,2019/12/20,17:08:50.439,,16625,,,18.76437,72.77778,,,,,,0
MSG,3,111,11111,800BA7,111111,2019/12/20,17:08:50.950,2019/12/20,17:08:50.898,,16650,,,18.76362,72.77803,,,,,,0
